Task ID,Project ID,Task Name,Task Status,Assigned To,Hours Spent,Estimated_Hours,Complexity_Score,Depends_On_Task,Task_Due_Date,Progress
T003,P086,Task 003 of Shopping Mall Renovation Project 086,Pending,Alice,19,20,10,T002,03/10/2024,0.25
T001,P087,Task 001 of University Dormitory Construction Project 087,In Progress,Frank,8,8,3,None,28/08/2025,0.06
T002,P087,Task 002 of University Dormitory Construction Project 087,Pending,Bob,1,1,10,T001,05/10/2025,0.45
T003,P087,Task 003 of University Dormitory Construction Project 087,In Progress,Alice,12,10,4,T002,24/09/2025,0.3
T001,P088,Task 001 of Sports Stadium Upgrade Project 088,In Progress,Alice,16,22,6,None,02/02/2025,0.29
T002,P088,Task 002 of Sports Stadium Upgrade Project 088,Pending,Bob,30,38,6,T001,30/01/2025,0.48
T003,P088,Task 003 of Sports Stadium Upgrade Project 088,In Progress,David,18,16,1,None,13/12/2024,0.77
T001,P089,Task 001 of Public Library Renovation Project 089,In Progress,Grace,17,23,1,None,29/04/2025,0.75
T002,P089,Task 002 of Public Library Renovation Project 089,In Progress,Alice,4,4,3,T001,04/07/2025,0.23
T003,P089,Task 003 of Public Library Renovation Project 089,Completed,Charlie,34,33,3,T002,14/06/2024,1.0
T001,P090,Task 001 of Building a Park Project 090,Completed,Ivy,21,29,1,None,05/07/2024,1.0
T002,P090,Task 002 of Building a Park Project 090,In Progress,Alice,27,29,4,None,23/08/2025,0.08
T003,P090,Task 003 of Building a Park Project 090,In Progress,Bob,21,19,8,T002,12/10/2025,0.96
T001,P091,Task 001 of Renovation of a School Project 091,Completed,Bob,23,18,8,None,16/06/2024,1.0
T002,P091,Task 002 of Renovation of a School Project 091,Pending,Eve,22,30,5,T001,04/03/2025,0.92
T003,P091,Task 003 of Renovation of a School Project 091,Pending,Eve,33,25,7,T002,12/03/2025,0.64
T001,P092,Task 001 of Innovation of a Classroom Project 092,Pending,Eve,22,18,6,None,14/11/2024,0.04
T002,P092,Task 002 of Innovation of a Classroom Project 092,Completed,Charlie,13,15,5,T001,11/09/2024,1.0
T003,P092,Task 003 of Innovation of a Classroom Project 092,Completed,David,11,11,2,T002,22/09/2024,1.0
T001,P093,Task 001 of Construction of a Hospital Wing Project 093,Completed,Alice,40,54,9,None,13/09/2024,1.0
T002,P093,Task 002 of Construction of a Hospital Wing Project 093,In Progress,Grace,31,37,5,T001,05/04/2025,0.75
T003,P093,Task 003 of Construction of a Hospital Wing Project 093,Completed,Charlie,0,1,3,T002,17/09/2024,1.0
T001,P094,Task 001 of Road Expansion Project 094,In Progress,Grace,13,9,8,None,24/09/2024,0.44
T002,P094,Task 002 of Road Expansion Project 094,In Progress,Ivy,20,16,6,None,28/09/2024,0.42
T003,P094,Task 003 of Road Expansion Project 094,In Progress,Charlie,39,42,2,T002,19/09/2024,0.37
T001,P095,Task 001 of Bridge Maintenance Project 095,Pending,Eve,24,19,10,None,27/07/2024,0.81
T002,P095,Task 002 of Bridge Maintenance Project 095,In Progress,Grace,34,26,10,T001,26/06/2024,0.97
T003,P095,Task 003 of Bridge Maintenance Project 095,In Progress,Charlie,7,5,1,T002,17/07/2024,0.58
T001,P096,Task 001 of Office Building Renovation Project 096,Pending,Alice,17,23,10,None,25/04/2025,0.69
T002,P096,Task 002 of Office Building Renovation Project 096,In Progress,Frank,20,26,7,T001,31/12/2024,0.08
T003,P096,Task 003 of Office Building Renovation Project 096,Pending,Ivy,32,30,4,T002,06/03/2025,0.92
T001,P097,Task 001 of Apartment Complex Development Project 097,Pending,Ivy,9,7,10,None,05/12/2024,0.5
T002,P097,Task 002 of Apartment Complex Development Project 097,Pending,Grace,17,15,1,T001,27/02/2025,0.2
T003,P097,Task 003 of Apartment Complex Development Project 097,Pending,Ivy,32,39,9,T002,20/12/2024,0.66
T001,P098,Task 001 of Commercial Center Construction Project 098,In Progress,Alice,12,8,2,None,13/01/2025,0.67
T002,P098,Task 002 of Commercial Center Construction Project 098,Pending,Charlie,25,33,5,T001,16/01/2025,0.83
T003,P098,Task 003 of Commercial Center Construction Project 098,In Progress,Charlie,20,27,8,T002,15/04/2025,0.3
T001,P099,Task 001 of Highway Reconstruction Project 099,Pending,Charlie,7,5,9,None,20/12/2024,0.14
T002,P099,Task 002 of Highway Reconstruction Project 099,Pending,Ivy,5,6,4,None,23/02/2025,0.36
T003,P099,Task 003 of Highway Reconstruction Project 099,Pending,Eve,19,26,6,T002,10/03/2025,0.91
T001,P100,Task 001 of Airport Expansion Project 100,Pending,Charlie,30,41,9,None,20/08/2024,0.85
T002,P100,Task 002 of Airport Expansion Project 100,Pending,David,12,13,9,T001,20/08/2024,0.02
T003,P100,Task 003 of Airport Expansion Project 100,In Progress,Alice,38,35,5,T002,18/08/2024,0.86
